HISTORIC DATA TABLE ($USD unless otherwise noted),,,,,,,,,,,,,,,
updated 21DEC24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,
LETTER KEY for REFERENCE NUMBERS (###.### + letter):  D=Deutsch (German) dial;  E=English dial;  F=Single-folding deployant buckle;  G=Double-folding deployant buckle; X=variation of a standard model,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,
REF. NO. (SORTED BY FAMILY/ MODEL),FAMILY / MODEL (ALPHABETICALLY SORTED),CASE METAL,DIAL,HANDS,STRAP,LUG & BUCKLE WIDTHS (mm),CASE SIZE diam/height (mm),MOVEMENT CALIBRE,LTD. ED.?,NOTES,FIRST YEAR MADE,LATEST YEAR REPORTED MADE,FIRST YEAR PRICE,LATEST PRICE (RED IS CURRENT),REF. NO. (SORTED BY FAMILY/ MODEL)
118.032,Cabaret Moonphase,RG,silver,RG,croc (reddish),19/16,36.3x25.5/9.1,L931.5,no,,2005,2009,"$20,900","$26,100",118.032
118.121,Cabaret Moonphase,YG,champagne,YG,bracelet,19/16,36.3x25.5/9.1,L931.5,no,,2007,2009,"$37,600","$39,200",118.121
118.132,Cabaret Moonphase,RG,silver,RG,bracelet,19/16,36.3x25.5/9.1,L931.5,no,,2007,2009,"$37,600","$39,200",118.132
157.121,Cabaret,YG,champagne,YG,bracelet,19/16,36.3x25.5/9.1,L931.3,no,,1999,2009,"$26,600","$34,900",157.121
157.127,Cabaret,WG,blue,WG,bracelet,19/16,36.3x25.5/9.1,L931.3,no,,1999,2001,"$27,500","$27,500",157.127
157.131,Cabaret,RG,black,RG,bracelet,19/16,36.3x25.5/9.1,L931.3,no,,1999,2009,"$26,600","$34,900",157.131
157.132,Cabaret,RG,silver,RG,bracelet,19/16,36.3x25.5/9.1,L931.3,no,,1999,2010,"$26,600","$34,900",157.132
157.135,Cabaret,PT,"black, white-on-black date",WG,bracelet,19/16,36.3x25.5/9.1,L931.3,no,,1999,2002,inquiry,inquiry,157.135
703.025F,Cabaret Tourbillon,PT,rhodium,WG,croc (black),22/18,39.2x29.5/10.3,L042.1,no,Sold w/deployant buckle.,2008,2013,"$265,400","$280,000",703.025F
703.032F,Cabaret Tourbillon,RG,silver,RG,croc (reddish),22/18,39.2x29.5/10.3,L042.1,no,Sold w/deployant buckle.,2008,2013,"$235,600","$248,600",703.032F
703.048F,Cabaret Tourbillon Handwerkskunst,PT,"WG, grey enamel, lozenge pattern",WG,croc (black w/grey),22/18,39.2x29.5/10.3,L042.1,30,Sold w/deployant buckle.,2021,2022,"€315,000","€315,000",703.048F
703.325,Cabaret Tourbillon,PT,rhodium,WG,bracelet,22/18,39.2x29.5/10.3,L042.1,no,,2011,2012,"$305,000","$305,000",703.325
703.332,Cabaret Tourbillon,RG,silver,YG,bracelet,22/18,39.2x29.5/10.3,L042.1,no,,2011,2012,"$249,200","$249,200",703.332
808.029,Cabaret,WG w/brilliants,blue,WG,crocodile,19/16,36.3x25.5/9.1,L931.3,no,,1999,2002,"$29,900","$29,900",808.029
808.030,Cabaret,WG w/bag.diamonds,blue,WG,crocodile,19/16,36.3x25.5/9.1,L931.3,no,,1999,2004,inquiry,inquiry,808.030
808.031,Cabaret,YG w/diamonds,champagne,YG,crocodile,19/16,36.3x25.5/9.1,L931.3,no,,2009,2010,???,???,808.031
808.033,Cabaret,WG w/brilliants,onyx/pavé,WG,crocodile,19/16,36.3x25.5/9.1,L931.3,no,"First offered 2001 ""for inquiry."" Caseback #127804, movement #14705 is engraved ""No.1.""",2004,2006,"$62,200","$61,000",808.033
808.034,Cabaret,WG w/brilliants,black,WG,croc (black),19/16,36.3x25.5/9.1,L931.3,10,,2007,2010,"$34,800","$36,000",808.034
808.035,Cabaret,WG w/bag.diamonds,black,WG,crocodile,19/16,36.3x25.5/9.1,L931.3,no,,2004,2006,"$56,500","$57,600",808.035
808.040,Cabaret,RG w/brilliants,silver,RG,crocodile,19/16,36.3x25.5/9.1,L931.3,no,,2003,2007,"$34,400","$37,700",808.040
827.029,"Cabaret ""Soirée""",WG w/diamond bezel,MOP (white tint),WG,croc (metallic silver),19/16,36.3x26.5/9.1,L931.4,10,,2009,2010,???,???,827.029
827.035,"Cabaret ""Soirée""",WG w/diamond bezel,MOP (rose tint),WG,croc (metallic pink),19/16,36.3x26.5/9.1,L931.4,10,,2009,2010,???,???,827.035
827.043,Cabaret,RG w/brilliants,MOP,RG,stingray,19/16,36.3x25.5/9.1,L931.4,no,,2007,2008,"$35,700","$35,700",827.043
827.049,"Cabaret ""Soirée""",WG w/diamond bezel,MOP (blue tint),WG,croc (blue),19/16,36.3x25.5/9.1,L931.4,10,Cases possibly numbered 187711-187720.,2009,2010,???,???,827.049
868.032,Cabaret,WG w/brilliants,onyx/pavé,blue steel,brclt w/brilliants,19/16,36.3x25.5/9.1,L931.2,no,,2000,2004,???,???,868.032
868.033,Cabaret,WG w/brilliants,onyx/pavé,WG,brclt w/brilliants,19/16,36.3x25.5/9.1,L931.2,no,"First offered 2001 ""for inquiry.""",2007,2010,"$251,700","$260,500",868.033
403.025,Datograph,PT,rhodium w/silver subdials,"WG luminous, rhodium chronograph second hand",crocodile,20/18,39.0/12.8,L951.1,no,"Probably unique, though at least one 403.025X Pisa Datograph looks identical and also has a rhodium chronograph second hand. Case #136265 made for Lange executive Dr. Frank Müller and sold by retailer Huber on 11/27/01. Supposedly another one, with diamond bezel, was made for Sultan of Bahrain.",2000,2001,???,???,403.025
403.025X,"Datograph ""Pisa""",PT,rhodium w/silver subdials,"WG luminous, blue steel chronograph second hand",croc (brown) + croc (blue-grey),20/18,39.0/12.8,L951.1,10,For Italian retailer Pisa. Sold with 2 straps and extra solid platinum caseback. At least one has a rhodium second hand like ref. no. 403.025. Cases numbered 148201-148210 (2004).,2004,2004,???,???,403.025X
403.031,"Datograph ""Dufour""",RG,black w/silver subdials,RG luminous,crocodile,20/18,39.0/12.8,L951.1,no,,2003,2005,"$36,500","$38,900",403.031
403.032,Datograph,RG,silver w/silver subdials,RG luminous,croc (reddish),20/18,39.0/12.8,L951.1,no,,2005,2013,"$40,500","$59,800",403.032
403.035,Datograph,PT,black w/silver subdials,WG luminous,croc (blue-grey),20/18,39.0/12.8,L951.1,no,"Two unique pieces exist:  case #128933, movement #18906, has a blue dial with blue subdials; case #128975, movement #23674, has a black dial with black subdials and white-on-black date. Both were made for a VDO Mannesmann board member c.2000.",1999,2013,"$46,200","$78,500",403.035
403.041,"Datograph ""Yellowjacket""",YG,black w/silver subdials,YG luminous,croc (black),20/18,39.0/12.8,L951.1,no,Limited production of appxoimately 30 pieces twice confirmed by Lange (2009 and 2021). Never in catalogs or official price lists.,2008,2009,"$50,900","$50,900",403.041
403.432,Datograph,RG,silver w/silver subdials,RG luminous,bracelet,20/18,39.0/12.8,L951.1,no,,2006,2012,"$57,600","$72,100",403.432
403.435,Datograph,PT,black w/silver subdials,WG luminous,bracelet,20/18,39.0/12.8,L951.1,no,,2006,2012,"$93,500","$115,500",403.435
405.028,Datograph Up/Down,WG,blue,WG luminous,croc (blue),20/18,41.0/13.1,L951.6,125,For Datograph 25th anniversary.,2024,2025,"$131,000","$131,000",405.028
405.031,Datograph Up/Down,RG,black,RG luminous,croc (red/brown),20/18,41.0/13.1,L951.6,no,,2015,2024,"$72,500","$104,600",405.031
405.034,"Datograph Up/Down ""Lumen""",PT,semi-transparent/black,WG luminous,croc (blue-grey),20/18,41.0/13.4,L951.7,200,,2018,2019,"$100,500","$100,500",405.034
405.035,Datograph Up/Down,PT,black,WG luminous,croc (blue-grey),20/18,41.0/13.1,L951.6,no,,2012,2024,"$87,400","$121,100",405.035
405.047,"Datograph Up/Down ""Hampton Court""",WG,grey w/black subdials,WG luminous w/red chrono seconds,bracelet,20/18,41.0/13.1,L951.6,1,Half-hunter case hinged at top. Sold 09NOV24 at charity auction for The Prince's Trust.,2024,2024,,,405.047
405.048,"Datograph ""Handwerkskunst""",YG,YG black-rhodiumed + tremblage,YG,croc (brown-grey),20/18,41.0/13.1,L951.8,25,,2024,2024,"$217,600","$217,600",405.048
405.831,Datograph Up/Down,RG w/56 diamond bezel,black,RG luminous,croc,20/18,41.0/13.1,L951.6,no,Reportedly 2 were produced.,2021?,2021?,???,???,405.831
405.835,Datograph Up/Down,PT w/56 diamond bezel,black,WG luminous,croc (blue-grey),20/18,41.0/13.1,L951.6,no,Reportedly 7 were produced.,2016,2017,"€150,000","€150,000",405.835
405.836,Datograph Up/Down,PT w/36 baguette diamond bezel,black w/black subdials and white-on-black date,WG luminous,croc (blue-grey),20/18,41.0/13.1,L951.6,2,"Ref. no. 310.836, 320.836, and 405.836 sold as set of 3 in special wood box for retailer Hour Glass Japan's 20th Anniversary (2016).",2016,2016,"€393,000","€393,000",405.836
410.025,Datograph Perpetual,PT,rhodium,WG luminous,croc (black),20/18,41.0/13.5,L952.1,no,,2006,2011,"$137,300","$141,400",410.025
410.030,Datograph Perpetual,WG,grey,WG luminous,crocodile,20/18,41.0/13.5,L952.1,no,Reportedly 50-100 were produced.,2009,2012,"$108,300","$108,300",410.030
410.032E,Datograph Perpetual,RG,silver,RG luminous,croc (red-brown),20/18,41.0/13.5,L952.1,no,,2010,2020,"$112,400","$143,400",410.032E
410.038E,Datograph Perpetual,WG,grey,WG luminous,croc (black),20/18,41.0/13.5,L952.1,no,,2015,2024,"$141,500","$180,700",410.038E
410.425,Datograph Perpetual,PT,rhodium,WG luminous,bracelet,20/18,41.0/13.5,L952.1,no,,2006,2009,"$175,300","$182,500",410.425
410.430,Datograph Perpetual,WG,grey,WG luminous,bracelet,20/18,41.0/13.5,L952.1,no,,2010,2011,"$124,900","$124,900",410.430
453.035,Datograph,PT,black w/silver subdials,WG luminous,"bracelet, soldered lugs",20/18,39.0/12.8,L951.1,no,Bracelet is integral to case.,2001,2009,"$76,700","$104,600",453.035
453.135,Datograph,PT,black w/silver subdials,WG luminous,bracelet,20/18,39.0/12.8,L951.1,no,,2001,2004,"$78,600","$82,200",453.135
740.036F,Datograph Perpetual Tourbillon,PT,black w/black subdials and white-on-black date,"WG luminous, steel chrono sweep seconds",croc (black),20/18,41.5/14.6,L952.2,100,Sold with deployant buckle.,2016,2021,"€295,000","$300,600",740.036F
740.055FE,"Datograph Perpetual Tourbillon HG ""Lumen""",HG,semi-transparent/black,"HG luminous, steel chrono sweep seconds",croc (brown),20/18,41.5/14.6,L952.4,50,For Datograph 25th anniversary. Sold with deployant buckle.,2024,2025,"$620,000","$620,000",740.055FE
740.056F,Datograph Perpetual Tourbillon,WG,pink gold/salmon,"WG luminous, steel chrono sweep seconds",croc (dark brown),20/18,41.5/14.6,L952.2,100,Sold with deployant buckle.,2019,2022,"$287,800","$287,800",740.056F
815.025,Datograph,PT w/blue sapphire bezel,rhodium w/diamonds,WG luminous,crocodile,20/18,40.0/13.0,L951.1,no,,2003,2011,"$87,000","$138,700",815.025
815.026,Datograph,PT w/baguette diamond bezel,rhodium w/diamonds,WG luminous,crocodile,20/18,40.0/13.0,L951.1,no,,2003,2010,"$109,300","$137,400",815.026
815.031,Datograph,RG w/baguette diamond bezel,black w/silver subdials,RG luminous,crocodile,20/18,40.0/13.0,L951.1,20,,2004,2010,"$87,000","$108,500",815.031
815.032,Datograph,RG w/baguette diamond bezel,silver,RG luminous,crocodile,20/18,40.0/13.0,L951.1,20,,2004,2007,???,???,815.032
815.036,Datograph,PT w/baguette diamond bezel,black w/black subdials and white-on-black date,WG luminous,croc (black),20/18,40.0/13.0,L951.1,4,Made for retailer Sincere in Singapore.,2002,2008,"$96,100","$124,600",815.036
830.025E,Datograph Perpetual,PT w/diamond bezel,rhodium,WG luminous,croc (black),20/18,41.0/13.5,L952.1,no,"
",2007,2012,???,"$211,700",830.025E
404.032,Double Split,RG,silver,RG luminous,croc (reddish),22/18,43.2/15.3,L001.1,no,,2010,2017,"$109,700","$128,400",404.032
404.035,Double Split,PT,black/silver,WG luminous,croc (black),22/18,43.2/15.3,L001.1,no,,2004,2011,"$97,800","$126,800",404.035
404.035X,Double Split,SS,black/silver,SS or WG w/lume,croc (blue-grey),22/18,43.2/15.3,L001.1,N/A,"Probably piece unique, case #152705, movement #44515, supposedly made for a former Lange executive (2008).",2008,2008,???,???,404.035X
404.036,Double Split,PT,all-black,WG luminous,croc (blue-grey),22/18,43.2/15.3,L001.1,5,For retailer Sincere's 50th anniversary (2004).,2004,2004,???,???,404.036
404.047,Double Split,RG,black,RG luminous,croc (black),22/18,43.2/15.3,L001.1,10,For retailer Sincere (2005).,2005,2005,"c.SGD 135,000","c.SGD 135,000",404.047
404.048F,Double Split,YG,grey,YG luminous,croc (brown),22/18,43.2/15.3,L001.1,10,For Japanese market. Sold with deployant buckle. LE number on side of case (2009).,2009,2010,"$104,600","$104,600",404.048F
824.035,Double Split,PT w/diamond bezel,black/silver,WG luminous,croc (black),22/18,43.2/15.3,L001.1,no,,2008,2011,???,???,824.035
912.032,Grand Complication,RG,white enamel,RG and blue steel,croc (red/brown),24/20,50.0/20.3,L1902,6,Sold w/deployant buckle.,2013,2020,"€1,900,000",on request,912.032
101.001,Lange 1,YG,champagne,YG,crocodile,20/16,38.5/10.0,L901.0,no,Solid caseback.,1994,1997,"DM 27,000","$19,800",101.001
101.002,Lange 1,YG,"silver, printed markers",blue steel,crocodile,20/16,38.5/10.0,L901.0,no,Solid caseback.,1994,1997,"DM 27,000","$19,800",101.002
101.005,Lange 1,PT,rhodium,WG,crocodile,20/16,38.5/10.0,L901.0,no,Solid caseback.,1994,1997,"DM 39,000","$28,600",101.005
101.007,Lange 1,WG,blue,WG,crocodile,20/16,38.5/10.0,L901.0,no,"Solid caseback. Possibly only 1 made (caseback #147837), though the 101.007 was on Lange's 1997-98 price list.",1997,1998,"$19,800","$19,800",101.007
101.011,Lange 1,RG,black,RG,crocodile,20/16,38.5/10.0,L901.0,no,Solid caseback.,1997,1998,"$19,800","$19,800",101.011
101.012,Lange 1,RG,silver,RG,crocodile,20/16,38.5/10.0,L901.0,no,"Solid caseback. At least one observed with blue hands (caseback #117993, sold 1999).",1997,1998,"$19,800","$19,800",101.012
101.021,Lange 1,YG,champagne,YG,croc (brown),20/16,38.5/10.0,L901.0,no,"First US price was $19,800 in 1995.",1995,2017,"DM 27,000","$34,700",101.021
101.022,Lange 1,YG,"silver, printed markers",blue steel,crocodile,20/16,38.5/10.0,L901.0,no,"First US price was $19,800 in 1995.",1995,2005,"DM 27,000","$21,100",101.022
101.025,"Lange 1 ""Stealth""",PT,rhodium,WG,croc (black),20/16,38.5/10.0,L901.0,no,"First US price was $28,600 in 1995. Some had blue hands. Case #132986, movement #19593 has silver dial w/printed markers and blue hands (same dial/hands as gold 101.022 and 101.027X models).",1995,2017,"DM 39,000","$49,500",101.025
101.026,Lange 1,SS,(1) silver dial (printed markers); (2) black dial (applied markers); (3) blue dial (applied markers),"(1) blue steel; or (2),(3) white metal",crocodile,20/16,38.5/10.0,L901.0,no,"Never in catalogs. Sold by several retailers. Same price as gold Lange 1 models. Most have silver dial/printed markers/blue steel hands. At least 2 have blue dials (case #117xxx/movement #73xx; and case #117972/movement #11288, which has a ""101.026X"" Certificate of Origin). Supposedly 25-30 total produced (1998).",1998,1999,"$19,800","$19,800",101.026
101.027,Lange 1,WG,blue,WG,crocodile,20/16,38.5/10.0,L901.0,no,,1997,2002,"$19,800","$19,800",101.027
101.027X,Lange 1,WG,"silver, printed markers",blue steel,crocodile,20/16,38.5/10.0,L901.0,no,Never in catalogs so production years are approximate. Most were sold prior to 2005. Unsubstantiated production number of 225 total pieces. Some sold as ref. no. 101.027 on warranty card.,2002,2008,"$19,800","$22,000",101.027X
101.028,Lange 1,YG,blue,YG,crocodile,20/16,38.5/10.0,L901.0,no,,1998,2004,"$19,800","$21,100",101.028
101.029,Lange 1,WG,black luminous,WG luminous,crocodile,20/16,38.5/10.0,L901.0,no,,2003,2007,"$19,800","$24,000",101.029
101.030,Lange 1,WG,grey,WG,croc (black),20/16,38.5/10.0,L901.0,no,,2003,2007,"$19,800","$27,800",101.030
101.031,Lange 1,RG,black,RG,crocodile,20/16,38.5/10.0,L901.0,no,,1997,2005,"$19,800","$21,100",101.031
101.032,Lange 1,RG,silver,RG,croc (black),20/16,38.5/10.0,L901.0,no,,1998,2017,"$19,800","$34,700",101.032
101.033,Lange 1,RG,grey,RG,croc (reddish),20/16,38.5/10.0,L901.0,no,,2003,2010,"$19,800","$27,800",101.033
101.035,"Lange 1 ""Darth""",PT,"black, white-on-black date",WG,crocodile,20/16,38.5/10.0,L901.0,no,,1999,2006,"$28,600","$32,700",101.035
101.039,"Lange 1 ""Night Owl""",WG,silver,WG luminous,croc (black),20/16,38.5/10.0,L901.0,no,,2009,2017,"$27,800","$35,900",101.039
101.047,Lange 1,RG,brown,RG,croc (brown),20/16,38.5/10.0,L901.0,10,For 100th anniversary of Dutch retailer Leon Martens. Engraved star on balance cock. Cases not numbered sequentially (2007).,2007,2009,"€23,600","€23,600",101.047
101.048F,Lange 1,WG,"black, grey subdials",WG,croc (black),20/16,38.5/10.0,L901.0,30,"For retailer Hausmann. Sold with extra solid WG caseback. Transparent caseback has ""/A"" after number. Casebacks possibly numbeedr 164521-164550 (2008).",2008,2009,"€26,400","€26,400",101.048F
101.049,"Lange 1 ""Cellini""",PT,"white lacquered, thin WG rings around subdials",WG luminous,croc (black),20/16,38.5/10.0,L901.0,25,For 25th anniversary of US retailer Cellini (2002). Dial is not enamel.,2003,2004,"$34,500","$34,500",101.049
101.050,Lange 1,HG,silver (argenté grainé/eggshell),HG-gilded RG,croc (red-brown),20/16,38.5/10.0,L901.0,20,Commemorates the Lange 1's 20th anniversary. Last new model with L901.0 movement. Price in Euro was 66000. Sold only in boutiques.,2015,2016,"$60,100","$60,100",101.050
101.057,Lange 1,WG,blue,WG,croc (dark blue),20/16,38.5/10.0,L901.0,25,"For Japanese retailer Mitsukoshi, with a few pieces sold by other retailers. Slightly different (darker blue) dial than the 101.027. Casebacks numbered 184501-184525 (2009).",2008,2008,?,?,101.057
101.061,Lange 1,PT,rhodium guilloche w/blue date numbers and dial printing,WG,croc (blue),20/16,38.5/10.0,L901.0,20,For Lange's 20th anniversary. Sold and priced as a set with ref. no. 811.061 (2014).,2014,2014,"$122,900","$122,900",101.061
101.062,Lange 1,PT,black guilloche,WG,croc (black),20/16,38.5/10.0,L901.0,20,For Lange's 20th anniversary. Sold and priced as a set with ref. no. 811.062 (2014).,2014,2014,"$122,900","$122,900",101.062
101.063,Lange 1,WG,blue guilloche,WG,croc (blue),20/16,38.5/10.0,L901.0,20,For Lange's 20th anniversary. Sold and priced as a set with ref. no. 811.063 (2014).,2014,2014,"$100,500","$100,500",101.063
101.064,Lange 1,RG,silver guilloche,RG,croc (red-brown),20/16,38.5/10.0,L901.0,20,For Lange's 20th anniversary. Sold and priced as a set with ref. no. 811.064 (2014).,2014,2014,"$98,100","$98,100",101.064
101.065,Lange 1,RG,black guilloche,RG,croc (black),20/16,38.5/10.0,L901.0,20,For Lange's 20th anniversary. Sold and priced as a set with ref. no. 811.065 (2014).,2014,2014,"$98,100","$98,100",101.065
101.321,Lange 1,YG,champagne,YG,bracelet,20/16,38.5/10.0,L901.0,no,,2007,2009,"$38,400","$41,700",101.321
101.325,Lange 1,PT,rhodium,WG,bracelet,20/16,38.5/10.0,L901.0,no,,2007,2009,"$76,700","$80,600",101.325
101.327X,Lange 1,WG,"silver, printed markers",blue steel,bracelet,20/16,38.5/10.0,L901.0,no,,2007?,2009?,?,?,101.327X
101.330,Lange 1,WG,grey,WG,bracelet,20/16,38.5/10.0,L901.0,no,,2007,2009,"$41,400","$43,200",101.330
101.332,Lange 1,RG,silver,RG,bracelet,20/16,38.5/10.0,L901.0,no,,2007,2009,"$39,700","$41,700",101.332
101.333,Lange 1,RG,grey,RG,bracelet,20/16,38.5/10.0,L901.0,no,,2007,2009,"$39,700","$41,700",101.333
101.521,Lange 1,YG,champagne,YG,bracelet,20/16,38.5/10.0,L901.0,no,,2011,2012,"$46,600","$46,600",101.521
101.525,Lange 1,PT,rhodium,WG,bracelet,20/16,38.5/10.0,L901.0,no,,2011,2012,"$106,600","$106,600",101.525
101.532,Lange 1,RG,silver,RG,bracelet,20/16,38.5/10.0,L901.0,no,,2010,2012,"$46,800","$47,300",101.532
101.539,Lange 1,WG,silver,WG luminous,bracelet,20/16,38.5/10.0,L901.0,no,,2009,2012,"$44,400","$50,100",101.539
109.021,Lange 1 Moonphase,YG,champagne,YG luminous,croc (brown),20/16,38.5/10.4,L901.5,no,,2003,2017,"$23,100","$42,900",109.021
109.025,Lange 1 Moonphase,PT,rhodium,WG luminous,croc (black),20/16,38.5/10.4,L901.5,no,,2003,2017,"$31,600","$57,700",109.025
109.032,Lange 1 Moonphase,RG,silver,RG luminous,croc (black),20/16,38.5/10.4,L901.5,no,,2003,2017,"$23,100","$42,900",109.032
109.033X,"Lange 1 Moonphase ""Dresden Set""",RG,grey,RG luminous,croc (black),20/16,38.5/10.4,L901.5,8,"For 800th anniversary of City of Dresden. Sold by retailer The Hour Glass in Japan. ""No. X/8 Sets"" engraved on side of case. Sold as a set with ref. no. 401.032X (2006).",2006,2006,???,???,109.033X
109.047,"Lange 1 Moonphase ""Tokyo""",WG,WG guilloche,WG,croc (blue),20/16,38.5/10.4,L901.5,25,"Case # 178783, movement # 68121, LE# 08/25 is a STOLEN WATCH. For Tokyo boutique (2008).",2008,2008,"JPY 5,350,000","JPY 5,350,000",109.047
109.049,"Lange 1 Moonphase ""Italian""",WG,"white lacquered, WG rings around subdials",blue steel,croc (blue),20/16,38.5/10.4,L901.5,30,For Italian market. Cases numbered 161901-161930 (2007).,2007,2008,"€31,000","€31,000",109.049
109.321,Lange 1 Moonphase,YG,champagne,YG luminous,bracelet,20/16,38.5/10.4,L901.5,no,,2007,2009,"$44,200","$46,500",109.321
109.325,Lange 1 Moonphase,PT,rhodium,WG luminous,bracelet,20/16,38.5/10.4,L901.5,no,,2007,2009,"$80,900","$85,000",109.325
109.332,Lange 1 Moonphase,RG,silver,RG luminous,bracelet,20/16,38.5/10.4,L901.5,no,,2007,2009,"$44,200","$46,500",109.332
109.521,Lange 1 Moonphase,YG,champagne,YG luminous,bracelet,20/16,38.5/10.4,L901.5,no,,2011,2012,"$54,900","$54,900",109.521
109.525,Lange 1 Moonphase,PT,rhodium,WG luminous,bracelet,20/16,38.5/10.4,L901.5,no,,2011,2012,"$116,400","$116,400",109.525
109.532,Lange 1 Moonphase,RG,silver,RG luminous,bracelet,20/16,38.5/10.4,L901.5,no,,2011,2012,"$55,600","$55,600",109.532
110.029,"Lange 1 ""Soirée""",WG,MOP,WG,crocodile,20/16,38.5/10.4,L901.4,no,"This was the original ""Soirée.""",2001,2002,"$21,900","$21,900",110.029
110.030,"Lange 1 ""Soirée""",WG,MOP guilloche,WG,croc (black),20/16,38.5/10.4,L901.4,no,"Called ""Soirée"" after 110.029. First offered as a limited production (not LE) model in 2001 through retailer Sincere in Asia. First US price was $22,900 in 2003.",2001,2009,"$22,900","$32,300",110.030
110.031,"Lange 1 ""Soirée""",RG,MOP guilloche,RG,crocodile,20/16,38.5/10.4,L901.4,no,,2006,2007,"$26,200","$27,000",110.031
110.037,"Lange 1 ""Soirée""",PT,MOP guilloche,WG,crocodile,20/16,38.5/10.4,L901.4,no,"Lange confirmed ""fewer than 10 made."" Case # 133564 has blue hands.",2001,2001,?,?,110.037
110.041,"Lange 1 ""Soirée""",PT,MOP dark,PT,crocodile,20/16,38.5/10.4,L901.4,no,,2004,2009,"$28,500","$42,000",110.041
110.041F,"Lange 1 ""Soirée""",PT,MOP,PT,crocodile,20/16,38.5/10.4,L901.4,no,Sold with deployant buckle.,2002,2009,"$33,700","$45,700",110.041F
110.049,"Lange 1 ""Soirée""",WG,MOP blue,WG,croc (blue),20/16,38.5/10.4,L901.4,25,For retailer Dubail (c.2005).,2003,2005,???,???,110.049
111.021,Lange 1 (Little),YG,champagne,YG,crocodile,19/16,36.1/10.0,L901.0,no,,1998,1999,"$19,100","$19,100",111.021
111.025,Lange 1 (Little),PT,rhodium,WG,crocodile,19/16,36.1/10.0,L901.0,no,"Case #115819, movement #4499 has blue hands. Case #137567, movement #26134 has small-size silver dial w/printed markers (possibly unique) and blue hands.",1998,2008,"$27,500","$29,300",111.025
111.027(X),Lange 1 (Little),WG,"black, white-on-black date",WG,crocodile,19/16,36.1/10.0,L901.0,no,"Case #137535, movement #19716, sold 20DEC06 through German dealer Oeding-Erdel is the only known piece of this reference. Ref. no. 111.027 is printed on its warranty paper, but a subsequent letter from Lange refers to it as 111.027X. Ref. 111.027 was sold from 2000-2006, and ref. 111.027X was sold from 2002-2003.",2000,2006,?,?,111.027(X)
111.028,Lange 1 (Little),YG,blue,YG,crocodile,19/16,36.1/10.0,L901.0,no,,1998,1999,"$19,100","$19,100",111.028
111.031,Lange 1 (Little),RG,black,RG,crocodile,19/16,36.1/10.0,L901.0,no,,1998,1999,"$19,100","$19,100",111.031
111.032,Lange 1 (Little),RG,silver,RG,crocodile,19/16,36.1/10.0,L901.0,no,,1998,1999,"$19,100","$19,100",111.032
111.035,Lange 1 (Little),PT,black,WG,crocodile,19/16,36.1/10.0,L901.0,no,"Case #119028, movement #15146 has blue dial.",1998,2006,"$27,500","$29,300",111.035
111.046,Lange 1 floral set,RG,YG floral engraved,RG,crocodile,19/16,36.1/10.0,L901.0,25,For Japanese market. Sold as a set. Solid caseback engraved w/Glashutte crest.,2007,2007,"€63,000","€63,000",111.046
112.046,,RG,YG floral engraved,RG,crocodile,20/16,38.5/10.0,L901.0,,,,,,,112.046
112.021,Lange 1A,YG,"YG guilloche, black-on-gold date","YG with YG second hand on #1-20, blue steel second hand on #21-100",crocodile,20/16,38.5/10.0,L901.1,100,"Case # 117439, movement # 7439, LE# 39/100 is a STOLEN WATCH. Case #s, movement #s, and LE #s match in this series (e.g., case #11wxyz has movement #wxyz and is LE #yz/100).",1998,2001,"$39,600","$39,600",112.021
112.047,Lange 1,WG,WG hobnail w/guilloche,WG,croc (black),20/16,38.5/10.0,L901.0,10,Same dial as 112.048. For Münster retailer Oeding-Erdel. Cases numbered 156301-156310 (2005).,2005,2005,???,???,112.047
112.048,"Lange 1 ""Honoris Causa""",RG,silver/white hobnail w/guilloche,RG,crocodile,20/16,38.5/10.0,L901.0,1,"With solid caseback engraved with owner's initials as well as sapphire caseback. Piece unique for charity auction (March 2, 2005).",2005,2005,"$36,300","$36,300",112.048
112.049,"Lange 1 ""Pinstripe""",PT,"WG guilloche, striped",WG,crocodile,20/16,38.5/10.0,L901.0,100,For retailer Sincere in Singapore (2003).,2003,2004,"$31,800","$31,800",112.049
113.041,Lange 1 (Little),RG,MOP blue,RG,pearl calf (beige),19/16,36.1/10.0,L901.4,no,,2015,2017,"$36,600","$36,600",113.041
113.043,Lange 1 (Little),WG,MOP blue,WG,pearl calf (blue),19/16,36.1/10.0,L901.4,no,,2015,2017,"$37,800","$36,600",113.043
115.021,Grand Lange 1,YG,yellow/champagne,YG,crocodile,22/18,41.9/10.0,L901.2,no,,2003,2008,"$21,100","$28,100",115.021
115.022,Grand Lange 1,YG,champagne,YG,croc (brown),22/18,41.9/11.0,L901.2,no,,2008,2011,"$31,100","$31,100",115.022
115.025,Grand Lange 1,PT,rhodium,WG,crocodile,22/18,41.9/10.0,L901.2,no,,2003,2008,"$30,800","$42,100",115.025
115.026,Grand Lange 1,PT,rhodium,WG,croc (black),22/18,41.9/11.0,L901.2,no,,2008,2013,"$46,600","$50,900",115.026
